scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal_type,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet - fine scale,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Sturnus vulgaris,sturnusvulgaris,9.5,MG,Prugh_etal_2008,mean,9.5,Km,1000,CJL,Hein_etal_2012,1000,km,777000,CF changed-this was the value from long one year of a two year study-1087000,Minderman_2010,"2007: 108.7 ± 17.71 ha, 2008: 46.7 ± 6.95 ha",ha,0.082,Hein_etal_2012,yes,4,CF,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,33200000,IUCN (estimated extent of occurrence),
Ovis canadensis,oviscanadensis,12.28,DM,Prugh_etal_2008,max,12.28,km,40,CJL,Hein_Gillooly_2011,40,km,27544823.89,DM,Tamburello_etal_2015,27544823.89,m2,90.71936,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Colaptes auratus,colaptesauratus,191,DM,Prugh_etal_2008,mean,191,km,1448.7,CF,Horton_2018,1448.7,km,250000,MG,Elchuk_Wiebe_2003,25,ha,0.132,Best_etal_1996,sds,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,8520000,IUCN (estimated extent of occurrence),
Melanerpes erythrocephalus,melanerpeserythrocephalus,0.58,DM,Prugh_etal_2008,mean,0.58,km,505,CF,Horton_2018,505,km,20100,CJL,Kilgo_Vukovich_2014,2.01,ha,0.072,Best_etal_1996,sds,4,MG,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,4680000,IUCN (estimated extent of occurrence),
Passerina cyanea,passerinacyanea,470,DM,Prugh_etal_2008,max,470,km,2317.6,CF,Horton_2018,2317.6,km,1100,CJL,Mace_Harvey_1983,0.11,ha,0.0143,Mace_Harvey_1983,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,5450000,IUCN (estimated extent of occurrence),
Setophaga ruticilla,setophagaruticilla,0.25,DM,Prugh_etal_2008,mean,0.25,km,3997.3,CF,Horton_2018,3997.3,km,1900,CJL,Mace_Harvey_1983,0.19,ha,0.009,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,14600000,IUCN (estimated extent of occurrence),
Sialia sialis,sialiasialis,160,DM,Prugh_etal_2008,mean,160,km,836,CF,Horton_2018,836,km,10100,CJL,Mace_Harvey_1983,1.01,ha,0.0308,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,9410000,IUCN (estimated extent of occurrence),
Mustela nivalis,mustelanivalis,6.64,DM,Prugh_etal_2008,max,6.64,km,0,DM,IUCN,not a migrant,NA,67500,SDS,Lindstedt_etal_1986,6.75,ha,0.0881,Tamburello_etal_2015,sds,4,MG,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Falco sparverius,falcosparverius,4.93,DM,Prugh_etal_2008,mean,4.93,km,6000,SDS - changed source,Hein_Gillooly_2011,,km,31201.6896,DM,Armstrong_1965,176.64,ha,0.114,Armstrong_1965,yes,4,,Omnivore/Carnivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,52700000,IUCN (estimated extent of occurrence),
Anas platyrhynchos,anasplatyrhynchos,19.9,DM,Prugh_etal_2008,mean,19.9,km,676,SDS - changed source,Soderquist_etal_2013,1233,km,2.25E+06,CJL - value was 4030000,Gilmer_etal_1975,average of 210 & 240 (same sample size of males & females),ha,1.082,Jenkins_etal_2007,sds,4,,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,flying,,Hirt_etal,air,air,air_aquatic,65800000,IUCN (estimated extent of occurrence),
Thryomanes bewickii,thryomanesbewickii,0.73,DM,Prugh_etal_2008,mean,0.73,km,200,SDS - calculated from map,Sibley_2014,200,im,4800,CJL,Mace_Harvey_1983,0.48,ha,0.011,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,6480000,IUCN (estimated extent of occurrence),
Molothrus ater,molothrusater,10.43,DM,Prugh_etal_2008,mean,10.43,km,2000,SDS - changed source,Hein_Gillooly_2011,,km,164670000,MG - value was 55500,Goguen_etal_2005,7.24,Km,0.044,Best_etal_1996,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,15500000,IUCN (estimated extent of occurrence),
Agelaius phoeniceus,agelaiusphoeniceus,32.1,DM,Prugh_etal_2008,mean,32.1,km,2500,SDS - changed source,Hein_Gillooly_2011,,km,9.31E+03,SDS,Odum_Keuntzler_1955,"mean(1.6, 1.1, 4.2)",acres,0.053,Best_etal_1996,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,18200000,IUCN (estimated extent of occurrence),
Turdus merula,turdusmerula,4,DM,Prugh_etal_2008,mean,4,km,0,MG,Moller_etal_2004,0,in multiple of 500 km,7284.34,SDS,Schoener_1968,1.8,acres,0.092,Schoener_1968,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,32400000,IUCN (estimated extent of occurrence),
Zapus hudsonius,zapushudsonius,4.83,DM,Prugh_etal_2008,max,4.83,km,0,SDS,Montana FWP,0 - nonmigatory,km,5300,CJL,Mace_Harvey_1983,0.53,ha,0.022,Mace_Harvey_1983,sds,4,SDS,Omnivore/Herbivore/Invertivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,18123728,IUCN (estimated extent of occurrence),
Microtus montanus,microtusmontanus,1.75,DM,Prugh_etal_2008,max,1.75,km,0,SDS,Montana FWP,0 - nonmigatory,km,151.6,DM,Tamburello_etal_2015,151.6,m2,0.0567,Tamburello_etal_2015,yes,4,SDS,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,2317578,IUCN (estimated extent of occurrence),
Sorex cinereus,sorexcinereus,5.09,DM,Prugh_etal_2008,max,5.09,km,0,SDS,Montana FWP,0 - nonmigatory,km,5011.87,DM,Tamburello_etal_2015,5011.87,m2,0.00417,Tamburello_etal_2015,yes,4,MG,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,19648532,IUCN (estimated extent of occurrence),
Myodes gapperi,myodesgapperi,0.22,DM,Prugh_etal_2008,mean,0.22,km,0,MG,AWD,They sometimes store food in their nests for use in the winter when it becomes difficult to forage,,2500,CJL - value was 8100,Harestad_ Bunnel_1979,0.25,ha,0.016,Harestad_ Bunnel_1979,sds,4,CJL,Omnivore/Herbivore,Omnivore,EOL,,land,inferred,land,,land,12967973,IUCN (estimated extent of occurrence),
Genetta genetta,genettagenetta,50,DM,Prugh_etal_2008,max,50,km,0,CJL - changed source,Munuera_Llobet_2004,"""Despite seasonal variation in home range size, the animals maintained their general spatial location throughout the year; movements to other areas were not detected.""",,7809981.41,DM,Tamburello_etal_2015,7809981.41,m2,1.75001,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,>20000,IUCN (estimated extent of occurrence),
Lemmus sibiricus,lemmussibiricus,0.25,SDS,Rodgers_1990,max,,,5.4,CJL,Hein_etal_2012,5.4,km,18080,SDS,Rodgers_Lewis_1986,1.808,ha,0.09214,Tamburello_etal_2015,sds,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,11322468,IUCN (estimated extent of occurrence),
Coracias garrulus,coraciasgarrulus,0.6085,CJL,Rodriguez_Ruiz_et_al_2020,mean,608.5,m,10000,CJL,Hein_etal_2012,10000,km,1000000,DM,Tamburello_etal_2015,1000000,m2,0.103,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,19900000,IUCN (estimated extent of occurrence),
Calidris mauri,calidrismauri,0.0875,CJL - changed value (wrong units),Sandercock_etal_2000,mean of medians,"87.5 - average of medians for males, females, and pairs in Fig 1",m,3200,SDS - changed source,Hein_Gillooly_2011,,km,706.8,SDS - value was 2000,Holmes_1973,15,m,0.047,Hein_etal_2012,sds,4,PLT,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,947000,IUCN (estimated extent of occurrence),
Acinonyx jubatus,acinonyxjubatus,20,CJL,Santini_2013,max,20,km (max),40,CJL,Hein_etal_2012,40,km,1.61E+08,MG,Broomhall_etal_2003,161,km2,50,Tamburello_etal_2015,sds,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,18760352.38,IUCN (estimated extent of occurrence),
Peromyscus leucopus,peromyscusleucopus,0.184,CJL - changed value,Santini_2013,mean,0.102,km (weighted mean from 3 studies),15,CJL,Hein_etal_2012,15,km,590,MG - value was 4046.86,Wolff_1985,590,m2,0.021,Hein_etal_2012,yes,4,,Omnivore/Herbivore,Omnivore,EOL,running,land,Hirt_etal,land,land,land,10686223,IUCN (estimated extent of occurrence),
Alces alces,alcesalces,118,CJL,Santini_2013,max,118,km (max),200,CJL,Hein_etal_2012,200,km,93825308.27,DM,Tamburello_etal_2015,93825308.27,m2,307.22744,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Antilocapra americana,antilocapraamericana,54.21,CJL - changed value,Santini_2013,mean,54.21,km (mean),260,CJL,Hein_etal_2012,260,km,10125348.97,DM,Tamburello_etal_2015,10125348.97,m2,46.0999,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Capreolus capreolus,capreoluscapreolus,2.12,CJL - changed value,Santini_2013,mean,2.12,km (mean),84,CJL,Hein_etal_2012,84,km,674636.76,DM,Tamburello_etal_2015,674636.76,m2,24.05027,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Cervus elaphus,cervuselaphus,20,CJL - changed value,Santini_2013,max,20,km (max),24.95,CJL - changed source,Meisingset_etal_2018,average of male (28.8) and female (21.1) migration distances,km,74865201.87,DM,Tamburello_etal_2015,74865201.87,m2,234.75778,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,>20000,IUCN (estimated extent of occurrence),
Dipodomys merriami,dipodomysmerriami,0.05,CJL - changed value,Santini_2013,mean,0.05,km  = mean (weighted by m/f numbers),0,CF-changed source,Thibault_2004,remain in burrows year round,NA,7374.8,DM,Tamburello_etal_2015,7374.8,m2,0.04182,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,2472799,IUCN (estimated extent of occurrence),
Dipodomys spectabilis,dipodomysspectabilis,0.86,CJL - changed value,Santini_2013,max,0.86,km (max),0,CF-changed source,Thibault_2004,home ranges change in size but not location throughout the year,NA,3008.5,DM,Tamburello_etal_2015,3008.5,m2,0.14458,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,1168386,IUCN (estimated extent of occurrence),
Dipodomys stephensi,dipodomysstephensi,0.037,CJL - changed value,Santini_2013,mean,0.037,km  = mean (weighted by m/f numbers),0,CF-changed source,IUCN,home ranges stable over time,NA,1480.44,DM,Tamburello_etal_2015,1480.44,m2,0.0762,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,9620.06,IUCN (estimated extent of occurrence),
Gulo gulo,gulogulo,55,CJL - changed value,Santini_2013,mean,55,km  = mean (weighted by m/f numbers),0,CJL - changed source,Beauvais_Johnson_2004,"""non-migratory""",km,361917847.3,DM,Tamburello_etal_2015,361917847.3,m2,21.54567,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Helogale parvula,helogaleparvula,0.5,CJL,Santini_2013,median,0.5,km (median),0,CF-changed source,Rood_1990,permanent territories,km,281838.29,DM,Tamburello_etal_2015,281838.29,m2,0.28184,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Lepus americanus,lepusamericanus,7.177,CJL - changed value,Santini_2013,mean,7.177,km (mean),0,CF-changed source,Ofarrell_1965,home ranges are year round,NA,32716.74,DM,Tamburello_etal_2015,32716.74,m2,1.36079,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,18525598,IUCN (estimated extent of occurrence),
Lepus californicus,lepuscalifornicus,45.061,CJL - changed value,Santini_2013,max,45.061,km (max),35,CJL,Hein_etal_2012,35,km,1592758.75,DM,Tamburello_etal_2015,1592758.75,m2,2.26798,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,6032346,IUCN (estimated extent of occurrence),
Lepus europaeus,lepuseuropaeus,2.057,CJL - changed value,Santini_2013,median,2.057,km (median),0,CJL - changed source,Kunst_etal_2001,"""non-migratory""",km,286615.72,DM,Tamburello_etal_2015,286615.72,m2,5.25001,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Lepus timidus,lepustimidus,3,CJL,Santini_2013,median,3,km (median),10,CJL,Hein_etal_2012,10,km,453241.85,DM,Tamburello_etal_2015,453241.85,m2,2.82501,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,52583508,IUCN (estimated extent of occurrence),
Lynx canadensis,lynxcanadensis,88,CJL - changed value,Santini_2013,median,88,km (median),0,CJL - changed source,IUCN,"""not a migrant""",km,82748475.24,DM,Tamburello_etal_2015,82748475.24,m2,10.20587,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Lynx lynx,lynxlynx,39.6,CJL - changed value,Santini_2013,mean,39.6,km (weighted mean of 2 studies),0,CF-changed source,Sunde_et_al_2000,desn't migrate,NA,181042275.7,DM,Tamburello_etal_2015,181042275.7,m2,29.99991,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,42765298,IUCN (estimated extent of occurrence),
Lynx rufus,lynxrufus,58.71,CJL - changed value,Santini_2013,mean,58.71,km (weighted mean of 4 studies),0,CF-changed source,Chamberlain_2003,yar round home ranges,NA,39877690.65,DM,Tamburello_etal_2015,39877690.65,m2,11.33992,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Macropus fuliginosus,macropusfuliginosus,85,CJL - changed value,Santini_2013,max,85,km (max),0,CF-changed source,ADW,consistent home ranges,NA,3236532.71,DM,Tamburello_etal_2015,3236532.71,m2,22.12483,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Marmota flaviventris,marmotaflaviventris,0.95,CJL,Santini_2013,mean of medians,0.95,km (average of m and f medians),0,CF-changed source,Armit_2009,24 of 793 marmots moved homeranges seasonally,NA,56963.94,DM,Tamburello_etal_2015,56963.94,m2,3.40197,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,2604302,IUCN (estimated extent of occurrence),
Marmota monax,marmotamonax,0.768,CJL - changed value,Santini_2013,mean,0.768,km (max),0,CF-changed source,Zervanos_2010,hibernate in winter,NA,165390.29,DM,Tamburello_etal_2015,165390.29,m2,3.40197,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,13097672,IUCN (estimated extent of occurrence),
Martes americana,martesamericana,8.137,CJL - changed value,Santini_2013,mean,8.137,km (weighed mean of 4 studies),0,CF-changed source,http://www.sibr.com/mammals/M154.html,non-migratory,NA,7066103.59,DM,Tamburello_etal_2015,7066103.59,m2,0.88349,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,>2500000,IUCN (estimated extent of occurrence),
Martes pennanti,martespennanti,24.23,CJL - changed value,Santini_2013,mean,24.23,km (weighed mean of 5 studies),0,CJL - changed source,Ahlborn_2005,"""non-migratory""",km,16755600.61,DM,Tamburello_etal_2015,16755600.61,m2,3.17519,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Microtus agrestis,microtusagrestis,0.0485,CJL - changed value,Santini_2013,mean of medians,0.0485,km (weighted mean of m/f),0,CF-changed source,Erlinge_1990,year round home range,NA,700.42,DM,Tamburello_etal_2015,700.42,m2,0.038,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,20519421,IUCN (estimated extent of occurrence),
Microtus ochrogaster,microtusochrogaster,0.0205,CJL,Santini_2013,max,0.0205,km (average of m and f medians),0,CF-changed source,Getz_2005,home rnages fluctuate in size but are maintined all year,NA,674.47,DM,Tamburello_etal_2015,674.47,m2,0.03544,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,3901131,IUCN (estimated extent of occurrence),
Microtus pennsylvanicus,microtuspennsylvanicus,1.2,CJL - changed value,Santini_2013,max,1.2,km (max),0,CF-changed source,Webster_1981,colonies remain in place year round,NA,411.74,DM,Tamburello_etal_2015,411.74,m2,0.04961,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,22166738,IUCN (estimated extent of occurrence),
Neotoma cinerea,neotomacinerea,2.2,CJL,Santini_2013,mean,2.2,km (max),0,CF-changed source,ADW,maintain the smae nests and middens trhoughout the year,NA,47616.78,DM,Tamburello_etal_2015,47616.78,m2,0.39548,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,4989974,IUCN (estimated extent of occurrence),
Ochotona princeps,ochotonaprinceps,0.09,CJL,Santini_2013,mean,0.09,km (mean),0,CF-changed source,Huntly_1986,switch to eating hay stocks in winter,NA,1866.34,DM,Tamburello_etal_2015,1866.34,m2,0.1465,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Odocoileus hemionus,odocoileushemionus,6.75,CJL - changed value,Santini_2013,mean,6.75,km (weighted mean of m/f),160,CJL,Hein_Gillooly_2011,160,km,35072764.57,DM,Tamburello_etal_2015,35072764.57,m2,53.86417,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Odocoileus virginianus,odocoileusvirginianus,11.69,CJL - changed value,Santini_2013,mean,11.69,km (weighted mean of 4 studies),52,CJL,Hein_Gillooly_2011,52,km,2488341.6,DM,Tamburello_etal_2015,2488341.6,m2,87.88404,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Oryctolagus cuniculus,oryctolaguscuniculus,0.535,CJL,Santini_2013,mean,0.535,km (mean),0,CF-changed source,Kolb_1991,remain in same sets of burrows year round,NA,62999.92,DM,Tamburello_etal_2015,62999.92,m2,1.6,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,756308,IUCN (estimated extent of occurrence),
Otospermophilus beecheyi,otospermophilusbeecheyi,1.88,CJL - changed value,Santini_2013,max,1.88,km (max),0,CF-changed source,ADW,may hibernate but stay in burrows year round,NA,518.84,SDS - listed under synonym,Tamburello_etal_2015,518.84,m2,0.72575,Tamburello_etal_2015,sds,4,,Invertivore/Frugivore/Granivore,Omnivore,EOL,,land,inferred,land,,land,755384,IUCN (estimated extent of occurrence),
Puma concolor,pumaconcolor,88.32,CJL - changed value,Santini_2013,mean,88.32,km (weighted mean of 8 studies),50,CJL,Hein_Gillooly_2011,50,km,312003883.7,DM,Tamburello_etal_2015,312003883.7,m2,89.99948,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Sciurus carolinensis,sciuruscarolinensis,100,CJL - changed value,Santini_2013,max,100,km (max),0,SDS - changed source,Thompson_1977,resident,km,4900.04,DM,Tamburello_etal_2015,4900.04,m2,0.625,Mace_Harvey_1983,sds,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,7077743,IUCN (estimated extent of occurrence),
Sciurus niger,sciurusniger,0.6,CJL - changed value,Santini_2013,median,0.6,km (median),0,SDS - changed source,Wassmer_Refinetti_2016,resident,km,128265.54,DM,Tamburello_etal_2015,128265.54,m2,0.95299,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,wallking - land,land,Tamburello_etal_2015,land,,land,6358940,IUCN (estimated extent of occurrence),
Sciurus vulgaris,sciurusvulgaris,0.705,CJL - changed value,Santini_2013,mean,0.705,km (weighted mean of 2 studies),0,CJL - changed source,Longru_etal_2010,"""non-migratory""",km,74908.31,DM,Tamburello_etal_2015,74908.31,m2,0.3275,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,41257639,IUCN (estimated extent of occurrence),
Tamiasciurus hudsonicus,tamiasciurushudsonicus,0.09,CJL - changed value,Santini_2013,mean,0.09,km (mean),0,SDS - changed source,Layne_1954,,km,4753.35,DM,Tamburello_etal_2015,4753.35,m2,0.22396,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,18867865,IUCN (estimated extent of occurrence),
Taxidea taxus,taxideataxus,22.82,CJL - changed value,Santini_2013,mean,22.82,km (weighted mean of m/f),0,CJL - changed source,Gonzales_1997,non-migratory,,3808816.06,DM,Tamburello_etal_2015,3808816.06,m2,8.61827,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Trichosurus vulpecula,trichosurusvulpecula,5.4,CJL,Santini_2013,mean,5.4,km (weighted mean of 2 studies),0,CF-changed source,Green_1986,generally maintained same dens over the 3 year period of study,NA,50134.88,DM,Tamburello_etal_2015,50134.88,m2,2.87501,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Urocitellus columbianus,Urocitelluscolumbianus,1.9,CJL - changed value,Santini_2013,mean of medians,1.9,km (average of m/f median values),0,CF-changed source,Dobson_2016,hibernate in place over the winter,NA,535.5,SDS - listed under synonym,Tamburello_etal_2015,535.5,m2,0.57834,Tamburello_etal_2015,sds,4,,Herbivore/Granivore/Frugivore,Herbivore,EOL,,land,inferred,land,,land,663159,IUCN (estimated extent of occurrence),
Vulpes velox,vulpesvelox,19.2,CJL - changed value,Santini_2013,median,19.2,km (median),0,CF-changed source,Butler_2019,ranges change size but remain in place year round,NA,5495408.74,DM,Tamburello_etal_2015,5495408.74,m2,2.0893,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Tachycineta bicolor,tachycinetabicolor,0.129,MG,Shutler_Clark_2003,median,129,m,5500,SDS - changed source,Hein_Gillooly_2011,,km,1370000,MG,Stapleton_Robertson_2006,661,m,0.02,Hein_etal_2012,sds,4,CF,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,8340000,IUCN (estimated extent of occurrence),
Panthera tigris,pantheratigris,101.3,CF- changed value,Singh_etal_2013,mean,124.2,km - changed value to the average for males and females. Origional entry was just males,0,CF,Sunquist_1979,year-round home ranges,,69690000,CJL - value was 42750000,Kroshko_etal_2016,69.69,km2,161,Gittleman_Harvey_1982,sds,4,CJL,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,1184911,IUCN (estimated extent of occurrence),
Charadrius montanus,charadriusmontanus,3.5,DM - changed value,Skrade_Dinsmore_2010,mean,3.5,km,1165.3,CF,Horton_2018,1165.3,km,566000,CJL,Plumb_et_al_2005,56.6,ha,0.0957,Sibly_etal_2012,sds,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,,Knopf_1996,air,air,land_air,1580000,IUCN (estimated extent of occurrence),
Calidris alpina,calidrisalpina,2.5,DM,Soikkeli_1970,mean,,,4800,SDS - changed source,Wennerberg_2001,4113,,1.53E+07,MG,Choi_etal_2014,15.33,km2,0.052,Sibly_etal_2012,sds,4,,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,3960000,IUCN (estimated extent of occurrence),
Falco mexicanus,falcomexicanus,2.5,DM,Steenhof_et_al_2005,mean,2.5,km,0,SDS - changed source,IUCN,248,km,2.60E+07,DM,Makarieva_etal_2005,2600,ha,0.801,Armstrong_1965,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,,air,4870000,IUCN (estimated extent of occurrence),
Poecile palustris,poecilepalustris,1.77,CJL,Sutherland_etal_2000,mean,1.77 = weighted avg of males & females,km,0,DM,IUCN,not a migrant,NA,22662.4,SDS,Schoener_1968,5.6,acres,0.011,Schoener_1968,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,30100000,IUCN (estimated extent of occurrence),
Columba livia,columbalivia,3,MG,Tang_etal_2018,mean,3,Km,0,MG,Moller_etal_2004,0,in multiple of 500 km,16400,CJL - value was 36500,Sol_Senar_1995,1.64,ha,0.393,Moller_etal_2004,sds,4,CF,Herbivore/Granivore,Herbivore,Pigot_etal_2020,flying,air,Hirt_etal,air,,air,64600000,IUCN (estimated extent of occurrence),
Dumetella carolinensis,dumetellacarolinensis,15,MG,Tittler_etal_2009,median,15,Km,2308.1,CF,Horton_2018,2308.1,km,1260000,MG,Ladin_etal_2018,1.26,km2,0.0359,Mace_Harvey_1983,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,8260000,IUCN (estimated extent of occurrence),
Hylocichla mustelina,hylocichlamustelina,70,MG,Tittler_etal_2009,median,70,Km,2822.3,CF,Horton_2018,2822.3,km,1770000,MG,Ladin_etal_2018,1.77,km2,0.051,Hein_etal_2012,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,1710000,IUCN (estimated extent of occurrence),
