scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Carettacaretta,carettacaretta,1460,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,113,,,2,,,,,,,,,,,,,
Phocavitulina,phocavitulina,500,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,115,,,2,,,,,,,,,,,,,
Alopiasvulpinus,alopiasvulpinus,1560,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,116,,,2,,,,,,,,,,,,,
NA,caprasibirica,NA,,NA,,,100,,Hein_Gillooly_2011,,,NA,,NA,,,130,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
Carcharhinus obscurus,carcharhinusobscurus,3800,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,137,,,2,,,,,,,,,,,,,
Galeocerdocuvier,galeocerdocuvier,6750,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,144,,,2,,,,,,,,,,,,,
Cheloniamydas,cheloniamydas,5200,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,150,,,2,,,,,,,,,,,,,
NA,alcelaphusbuselaphus,NA,,NA,,,207,,Teitelbaum_2015,,,NA,,NA,,,150,,,2,,,,,,,,,,,,,
Carcharhinus altimus,carcharhinusaltimus,3340,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,186,,,2,,,,,,,,,,,,,
NA,thunnusorientalis,NA,,NA,,,7600,,Hein_Gillooly_2011,,,NA,,NA,,,200,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
Sus scrofa,susscrofa,300,,Prugh_etal,,,NA,,NA,,,NA,,NA,,,200,,,2,,,,,,,,,,,,,
Negaprionacutidens,negaprionacutidens,5,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,204,,,2,,,,,,,,,,,,,
NA,equushemionus,NA,,NA,,,1566,,Teitelbaum_2015,,,NA,,NA,,,220,,,2,,,,,,,,,,,,,
NA,thunnusthunnus,NA,,NA,,,12000,,Hein_Gillooly_2011,,,NA,,NA,,,240,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,hippoglossusstenolepis,NA,,NA,,,1200,,Hein_Gillooly_2011,,,NA,,NA,,,300,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,equusburchellii,NA,,NA,,,153,,Teitelbaum_2015,,,NA,,NA,,,320,,,2,,,,,,,,,,,,,
NA,miroungaleonina,NA,,NA,,,3000,,Hein_Gillooly_2011,,,NA,,NA,,,320,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
Bos bison,bosbison,300,,Prugh_etal,,,NA,,NA,,,NA,,NA,,,497.667,,,2,,,,,,,,,,,,,
Dermochelyscoriacea,dermochelyscoriacea,6880,,Jenkins_et_al_2007,,,NA,,NA,,,NA,,NA,,,700,,,2,,,,,,,,,,,,,
NA,odobenusrosmarus,NA,,NA,,,1800,,Hein_Gillooly_2011,,,NA,,NA,,,1000,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,delphinapterusleucas,NA,,NA,,,2200,,Hein_Gillooly_2011,,,NA,,NA,,,1400,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,cetorhinusmaximus,NA,,NA,,,9500,,Hein_Gillooly_2011,,,NA,,NA,,,3900,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,eubalaenaglacialis,NA,,NA,,,5700,,Hein_Gillooly_2011,,,NA,,NA,,,28000,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,eschrichtiusrobustus,NA,,NA,,,7300,,Hein_Gillooly_2011,,,NA,,NA,,,30000,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,megapteranovaeangliae,NA,,NA,,,8500,,Hein_Gillooly_2011,,,NA,,NA,,,30000,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,balaenamysticetus,NA,,NA,,,5800,,Hein_Gillooly_2011,,,NA,,NA,,,69000,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
NA,balaenopteramusculus,NA,,NA,,,8700,,Hein_Gillooly_2011,,,NA,,NA,,,99000,Hein_Gillooly_2011,,2,,,,,,,,,,,,,
Neovison vison,neovisonvison,33,,Whitmee and Ormee 2012,,,NA,,NA,,,27920000,,NA,,,NA,,,2,,,,,,,,,,,,,
Gopherus agassizii,gopherusagassizii,NA,,NA,,,NA,,NA,,,250000,,O'Connor_etal_1997,,,2,Tamburello_etal,,2,,,,,,,,,,,,,
NA,anolisnebulosus,NA,,NA,,,NA,,NA,,,1.3,,Perry_Garland_2002,,,0.00135,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Phrynocephalus axillars,phrynocephalusaxillars,NA,,NA,,,NA,,NA,,,158,,Perry_Garland_2002,,,0.0016,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anoliscupreus,NA,,NA,,,NA,,NA,,,21.5,,Perry_Garland_2002,,,0.0017,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,scincellalateralis,NA,,NA,,,NA,,NA,,,450,,Perry_Garland_2002,,,0.001775,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,lepidodactyluslugubris,NA,,NA,,,NA,,NA,,,3.25,,Perry_Garland_2002,,,0.0019,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisangusticeps,NA,,NA,,,NA,,NA,,,12.8,,Perry_Garland_2002,,,0.00205,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisdistichus,NA,,NA,,,NA,,NA,,,13.85,,Perry_Garland_2002,,,0.002245454545,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolissagrei,NA,,NA,,,NA,,NA,,,9.25,,Perry_Garland_2002,,,0.002270967742,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,eumecesobsoletus,NA,,NA,,,NA,,NA,,,287,,Perry_Garland_2002,,,0.00235,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisauratus,NA,,NA,,,NA,,NA,,,4,,Perry_Garland_2002,,,0.0025,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,mesalinaguttulata,NA,,NA,,,NA,,NA,,,550,,Perry_Garland_2002,,,0.0025,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolislimifrons,NA,,NA,,,NA,,NA,,,14.7,,Perry_Garland_2002,,,0.0027,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Phrynocephalus przwalskii,phrynocephalusprzwalskii,NA,,NA,,,NA,,NA,,,175,,Perry_Garland_2002,,,0.0028,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,utastansburiana,NA,,NA,,,NA,,NA,,,438.5,,Perry_Garland_2002,,,0.0029,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolispolylepis,NA,,NA,,,NA,,NA,,,17,,Perry_Garland_2002,,,0.0032,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,urosaurusornatus,NA,,NA,,,NA,,NA,,,93,,Perry_Garland_2002,,,0.0032,0.00245,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusscalaris,NA,,NA,,,NA,,NA,,,111,,Perry_Garland_2002,,,0.00345,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisaeneus,NA,,NA,,,NA,,NA,,,3.3,,Perry_Garland_2002,,,0.0035,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,takydromustachydromoides,NA,,NA,,,NA,,NA,,,78.7,,Perry_Garland_2002,,,0.003633333,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolislineatopus,NA,,NA,,,NA,,NA,,,1,,Perry_Garland_2002,,,0.0037,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusgrammicus,NA,,NA,,,NA,,NA,,,58.8,,Perry_Garland_2002,,,0.0038,Perry_Garland_2002,,2,,,,,,,,,,,,,
Phrynocephalus interscapularis,phrynocephalusinterscapularis,NA,,NA,,,NA,,NA,,,65,,Perry_Garland_2002,,,0.0038,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anoliscarolinensis,NA,,NA,,,NA,,NA,,,23.7,,Perry_Garland_2002,,,0.003866666667,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,takydromusformosanusa,NA,,NA,,,NA,,NA,,,75.4,,Perry_Garland_2002,,,0.0039,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusmerriami,NA,,NA,,,NA,,NA,,,142,,Perry_Garland_2002,,,0.004,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,lacertaschreiberi,NA,,NA,,,NA,,NA,,,15.5,,Perry_Garland_2002,,,0.0042,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anoliscristatellus,NA,,NA,,,NA,,NA,,,6.3,,Perry_Garland_2002,,,0.00422,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisacutus,NA,,NA,,,NA,,NA,,,0.85,,Perry_Garland_2002,,,0.00435,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Phrynocephalus versicolor,phrynocephalusversicolor,NA,,NA,,,NA,,NA,,,529,,Perry_Garland_2002,,,0.0044,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,eremiasarguta,NA,,NA,,,NA,,NA,,,80,,Perry_Garland_2002,,,0.0046,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,holbrookiamaculata,NA,,NA,,,NA,,NA,,,630,,Perry_Garland_2002,,,0.00473,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,eremiasvelox,NA,,NA,,,NA,,NA,,,149,,Perry_Garland_2002,,,0.0048,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusgraciosus,NA,,NA,,,NA,,NA,,,374,,Perry_Garland_2002,,,0.004866667,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Phrynosoma douglassi,phrynosomadouglassi,NA,,NA,,,NA,,NA,,,733,,Perry_Garland_2002,,,0.004866667,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusundulatus,NA,,NA,,,NA,,NA,,,324,,Perry_Garland_2002,,,0.0050625,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cnemidophorushyperythrus,NA,,NA,,,NA,,NA,,,404,,Perry_Garland_2002,,,0.00525,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,podarcishispanica,NA,,NA,,,NA,,NA,,,124,,Perry_Garland_2002,,,0.0059,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cophosaurustexanus,NA,,NA,,,NA,,NA,,,188,,Perry_Garland_2002,,,0.006033333,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cnemidophorussexlineatus,NA,,NA,,,NA,,NA,,,3635.5,,Perry_Garland_2002,,,0.006175,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,podarcismuralis,NA,,NA,,,NA,,NA,,,17.6,,Perry_Garland_2002,,,0.0063,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,leiolopismazelandica,NA,,NA,,,NA,,NA,,,15,,Perry_Garland_2002,,,0.0065,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,podarcistaurica,NA,,NA,,,NA,,NA,,,134,,Perry_Garland_2002,,,0.0065,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,eumecesfasciatus,NA,,NA,,,NA,,NA,,,635,,Perry_Garland_2002,,,0.00675,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusvirgatus,NA,,NA,,,NA,,NA,,,403,,Perry_Garland_2002,,,0.006828571429,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisvalencienni,NA,,NA,,,NA,,NA,,,27.6,,Perry_Garland_2002,,,0.00735,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,lacertamonticola,NA,,NA,,,NA,,NA,,,74.6,,Perry_Garland_2002,,,0.00755,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,liolaemuskuhlmanni,NA,,NA,,,NA,,NA,,,371,,Perry_Garland_2002,,,0.007633333333,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cnemidophorusuniparens,NA,,NA,,,NA,,NA,,,582,,Perry_Garland_2002,,,0.007666666667,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,podarciserdardii,NA,,NA,,,NA,,NA,,,77,,Perry_Garland_2002,,,0.0079,Perry_Garland_2002,,2,,,,,,,,,,,,,
NA,acanthodactylusboskianus,NA,,NA,,,NA,,NA,,,367,,Perry_Garland_2002,,,0.0083,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,eumeceselegans,NA,,NA,,,NA,,NA,,,274,,Perry_Garland_2002,,,0.009,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cnemidophorusgularis,NA,,NA,,,NA,,NA,,,1380,,Perry_Garland_2002,,,0.0095,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusoccidentalis,NA,,NA,,,NA,,NA,,,702,,Perry_Garland_2002,,,0.0098,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cnemidophoruslemniscatus,NA,,NA,,,NA,,NA,,,40,,Perry_Garland_2002,,,0.01,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,leiocephalusschreibersi,NA,,NA,,,NA,,NA,,,42.4,,Perry_Garland_2002,,,0.0102,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,microlophusalbemarlensis,NA,,NA,,,NA,,NA,,,261,,Perry_Garland_2002,,,0.01055,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,liolaemuslutzae,NA,,NA,,,NA,,NA,,,37.5,,Perry_Garland_2002,,,0.0106,Perry_Garland_2002,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusjarrovi,NA,,NA,,,NA,,NA,,,503,,Perry_Garland_2002,,,0.01076666667,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,teratoscincusprzewalskii,NA,,NA,,,NA,,NA,,,887,,Perry_Garland_2002,,,0.01083,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,tropidurusitambere,NA,,NA,,,NA,,NA,,,33.6,,Perry_Garland_2002,,,0.01105,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,psammodromusalgirus,NA,,NA,,,NA,,NA,,,305,,Perry_Garland_2002,,,0.01285,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,petrosaurusmearnsi,NA,,NA,,,NA,,NA,,,77.6,,Perry_Garland_2002,,,0.015,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,xantusiariversiana,NA,,NA,,,NA,,NA,,,17.2,,Perry_Garland_2002,,,0.0157,Perry_Garland_2002,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
NA,eumecesokadae,NA,,NA,,,NA,,NA,,,94.4,,Perry_Garland_2002,,,0.0164,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,japaluraswinhonis,NA,,NA,,,NA,,NA,,,22.5,,Perry_Garland_2002,,,0.0165,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,mabuyasechellensis,NA,,NA,,,NA,,NA,,,26.6,,Perry_Garland_2002,,,0.0167,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Phrynosoma modestum,phrynosomamodestum,NA,,NA,,,NA,,NA,,,2730,,Perry_Garland_2002,,,0.017,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,acanthodactylusschmidti,NA,,NA,,,NA,,NA,,,1250,,Perry_Garland_2002,,,0.0171,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,cnemidophorustigris,NA,,NA,,,NA,,NA,,,1010,,Perry_Garland_2002,,,0.01916666667,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,kentropyxstriatus,NA,,NA,,,NA,,NA,,,10,,Perry_Garland_2002,,,0.0229,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,gambeliasilus,NA,,NA,,,NA,,NA,,,11400,,Perry_Garland_2002,,,0.02685,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,thecadactylusrapicauda,NA,,NA,,,NA,,NA,,,570,,Perry_Garland_2002,,,0.027,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Gallotia galloti,gallotiagalloti,NA,,NA,,,NA,,NA,,,57.1,,Perry_Garland_2002,,,0.0308,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anolisfrenatus,NA,,NA,,,NA,,NA,,,473,,Perry_Garland_2002,,,0.03135,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,crotaphytuscollaris,NA,,NA,,,NA,,NA,,,324,,Perry_Garland_2002,,,0.035,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,sceloporusorcutti,NA,,NA,,,NA,,NA,,,4470,,Perry_Garland_2002,,,0.0395,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,ameivaexsul,NA,,NA,,,NA,,NA,,,275,,Perry_Garland_2002,,,0.0409,Perry_Garland_2002,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
NA,gambeliawislizenii,NA,,NA,,,NA,,NA,,,10500,,Perry_Garland_2002,,,0.040975,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,lacertaviridis,NA,,NA,,,NA,,NA,,,231,,Perry_Garland_2002,,,0.041,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,anoliscuvieri,NA,,NA,,,NA,,NA,,,326,,Perry_Garland_2002,,,0.0455,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,basiliscusvittatus,NA,,NA,,,NA,,NA,,,12.5,,Perry_Garland_2002,,,0.046233333,,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
Dipsosaurus dorsalis,dipsosaurusdorsalis,NA,,NA,,,NA,,NA,,,624,,Perry_Garland_2002,,,0.0506125,Perry_Garland_2002,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
NA,microlophusdelanonis,NA,,NA,,,NA,,NA,,,144,,Perry_Garland_2002,,,0.05075,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,laudakiatuberculata,NA,,NA,,,NA,,NA,,,60.4,,Perry_Garland_2002,,,0.05475,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,ameivaplei,NA,,NA,,,NA,,NA,,,1210,,Perry_Garland_2002,,,0.055,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Phrynosoma cornutum,phrynosomacornutum,NA,,NA,,,NA,,NA,,,17400,,Perry_Garland_2002,,,0.055,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,agamaagama,NA,,NA,,,NA,,NA,,,326,,Perry_Garland_2002,,,0.0556,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,chamaeleonamaquensis,NA,,NA,,,NA,,NA,,,1050,,Perry_Garland_2002,,,0.0581,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,ameivaameiva,NA,,NA,,,NA,,NA,,,400,,Perry_Garland_2002,,,0.0588,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,mabuyawrightii,NA,,NA,,,NA,,NA,,,78.1,,Perry_Garland_2002,,,0.0695,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,laudakiastellio,NA,,NA,,,NA,,NA,,,250,,Perry_Garland_2002,,,0.07,Perry_Garland_2002,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
NA,laudakiacaucasia,NA,,NA,,,NA,,NA,,,117,,Perry_Garland_2002,,,0.16,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
Sauromalus obesus,sauromalusobesus,NA,,NA,,,NA,,NA,,,6670,,Perry_Garland_2002,,,0.16678,Perry_Garland_2002,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
NA,lacertalepida,NA,,NA,,,NA,,NA,,,1510,,Perry_Garland_2002,,,0.1971,Perry_Garland_2002,,2,,Insectivore,,Perry_Garland_2002,,,,,,,,,
NA,varanustristris,NA,,NA,,,NA,,NA,,,219000,,Perry_Garland_2002,,,0.2385,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,chlamydosauruskingii,NA,,NA,,,NA,,NA,,,11900,,Perry_Garland_2002,,,0.3213,Perry_Garland_2002,,2,,Insectivore,,"Perry & Garland, 2002",,,,,,,,,
NA,uromastyxacanthinurus,NA,,NA,,,NA,,NA,,,37500,,Perry_Garland_2002,,,0.4,,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusgouldii,NA,,NA,,,NA,,NA,,,89100,,Perry_Garland_2002,,,0.4671,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,tiliquarugosa,NA,,NA,,,NA,,NA,,,13900,,Perry_Garland_2002,,,0.5474888889,Perry_Garland_2002,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
NA,helodermasuspectum,NA,,NA,,,NA,,NA,,,275000,,Perry_Garland_2002,,,0.6,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,helodermahorridum,NA,,NA,,,NA,,NA,,,209000,,Perry_Garland_2002,,,0.75,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusflavescens,NA,,NA,,,NA,,NA,,,750,,Perry_Garland_2002,,,0.7685,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,cycluracarinata,NA,,NA,,,NA,,NA,,,1220,,Perry_Garland_2002,,,0.7954,Perry_Garland_2002,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
Sauromalus hispidus,sauromalushispidus,NA,,NA,,,NA,,NA,,,2350,,Perry_Garland_2002,,,0.927,Perry_Garland_2002,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusrosenbergi,NA,,NA,,,NA,,NA,,,194000,,Perry_Garland_2002,,,1.149,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusgriseus,NA,,NA,,,NA,,NA,,,3365000,,Perry_Garland_2002,,,2.044116667,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
Uromastyx aegyptius,uromastyxaegyptius,NA,,NA,,,NA,,NA,,,20000,,Perry_Garland_2002,,,2.5,Tamburello_etal,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
cyclura pinguis,cyclurapinguis,NA,,NA,,,NA,,NA,,,24600,,Perry_Garland_2002,,,4.30166667,Perry_Garland_2002,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusolivaceus,NA,,NA,,,NA,,NA,,,14000,,Perry_Garland_2002,,,4.64,Perry_Garland_2002,,2,,Omnivore,,Perry_Garland_2002,,,,,,,,,
conolophus pallidus,conolophuspallidus,NA,,NA,,,NA,,NA,,,5530,,Perry_Garland_2002,,,5.6,Perry_Garland_2002,,2,,Herbivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusbengalensis,NA,,NA,,,NA,,NA,,,94000,,Perry_Garland_2002,,,5.744,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,varanusalbigularis,NA,,NA,,,NA,,NA,,,12200000,,Perry_Garland_2002,,,7.25,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
NA,varanuskomodoensis,NA,,NA,,,NA,,NA,,,1200000,,Perry_Garland_2002,,,33.33333333,Perry_Garland_2002,,2,,Carnivore,,Perry_Garland_2002,,,,,,,,,
Xiphocolaptes promeropirhynchus,xiphocolaptespromeropirhynchus,NA,,NA,,,NA,,NA,,,78000,,Poulsen_1996,,,0.136,,,2,,,,,,,,,,,,,
Margarornis squamiger,margarornissquamiger,NA,,NA,,,NA,,NA,,,42000,,Poulsen_1996,,,1.258875,,,2,,,,,,,,,,,,,
NA,microgalegracilis,NA,,NA,,,NA,,NA,,,5.60E+07,,Razafindratsima_et_al_2018,,,0.0233,,,2,,,,,,,,,,,,,
NA,rousettusmadagascariensis,NA,,NA,,,NA,,NA,,,8000,,Razafindratsima_et_al_2018,,,0.055,,,2,,,,,,,,,,,,,
Nesomys rufus,nesomysrufus,NA,,NA,,,NA,,NA,,,4000,,Razafindratsima_et_al_2018,,,0.16545,Tamburello_etal,,2,,Herbivore,,Tamburello_etal,walking - land,,Tamburello_etal,,,,,,
Nesomys audeberti,nesomysaudeberti,NA,,NA,,,NA,,NA,,,7000,,Razafindratsima_et_al_2018,,,0.2156,Tamburello_etal,,2,,,,,,,,,,,,,
NA,setifersetosus,NA,,NA,,,NA,,NA,,,102000,,Razafindratsima_et_al_2018,,,0.294,,,2,,,,,,,,,,,,,
NA,eidolondupreanum,NA,,NA,,,NA,,NA,,,3.00E+05,,Razafindratsima_et_al_2018,,,0.342,,,2,,,,,,,,,,,,,
NA,pteropusrufus,NA,,NA,,,NA,,NA,,,195000,,Razafindratsima_et_al_2018,,,0.361,,,2,,,,,,,,,,,,,
