"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius"
"222","Zenaida macroura","zenaidamacroura",4.8,"DM","Jenkins_et_al_2007","4800","m",2900,"SDS ","Baskett_etal_1993","5.33E+02","km",2170000,"SDS - source right, but number was way off","Losito_Mirachi_1991","217","ha",0.119,"Bestetal_1996","",4,"MG","Herbivore/Granivore","Pigot_etal_2020","","","22400000","IUCN (estimated extent of occurrence)",NA,2.17,0.831103154258739
"223","Calcarius lapponicus","calcariuslapponicus",0.3985,"CJL - changed value (wrong units)","McLaughlin and Montgomerie 1985","398.5","m",6500,"SDS - changed source","Hein_Gillooly_2011","","km",17600,"CJL","Mace_Harvey_1983","1.76","ha",0.0286,"Mace_Harvey_1983","",4,"PLT","Herbivore/Granivore","Pigot_etal_2020","","","38900000","IUCN (estimated extent of occurrence)",NA,0.0176,0.0748482063701911
"224","Mimus polyglottos","mimuspolyglottos",45,"MG","Tittler_2009","45","Km",0,"SDS - changed source","ICUN","37","km",4000,"CJL","Mace_Harvey_1983","0.4","ha",0.0501,"Mace_Harvey_1983","",4,"","Omnivore/Omnivore","Pigot_etal_2020","","","19200000","IUCN (estimated extent of occurrence)",NA,0.004,0.0356824823230554
"225","Thryomanes bewickii","thryomanesbewickii",0.73,"DM","Prugh_etal","0.73","km",200,"SDS - calculated from map","Sibley_2014","200","im",4800,"CJL","Mace_Harvey_1983","0.48","ha",0.011,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","6480000","IUCN (estimated extent of occurrence)",NA,0.0048,0.0390882009522336
"226","Aegolius acadicus","aegoliusacadicus",9,"CJL - changed value","Marks_et_al_2015","9","km",467,"SDS - changed source","Priestley_etal_2010","4.16E+02","km",1400000,"DM","Makarieva_etal_2005","140","ha",0.085,"Makarieva_etal_2005","yes",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","","","18600000","IUCN (estimated extent of occurrence)",NA,1.4,0.667558117812455
"227","Aquila chrysaetos","aquilachrysaetos",55.3,"DM","Murphy et al. 2018","55.3","km",2200,"SDS - changed source","Brodeur_etal_1996","1.08E+03","",2.2e+07,"DM","makarieva_etal_2005","2200","ha",1.6,"makarieva_etal_2005","yes",4,"PT","Carnivore/Vertivore","Pigot_etal_2020","flying","Hirt_etal","139000000","IUCN (estimated extent of occurrence)",NA,22,2.64628371420061
"228","Asio otus","asiootus",161.6,"DM","Jenkins_et_al_2007","161600","m",800,"SDS - changed source","Holt_1997","6.50E+02","km",5100000,"DM","makarieva_etal_2005","510","ha",0.252,"Tamburello_etal","sds",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","80000000","IUCN (estimated extent of occurrence)",NA,5.1,1.27411946831423
"229","Buteo regalis","buteoregalis",592,"DM","Watson et al. 2019","592","km",2376,"SDS - changed source","Watson_etal_2018","1038","",1.2e+07,"DM","makarieva_etal_2005","1200","ha",1.505,"EOL","",4,"PLT","Carnivore/Vertivore","Pigot_etal_2020","","","3320000","IUCN (estimated extent of occurrence)",NA,12,1.95441004761168
"230","Falco mexicanus","falcomexicanus",2.5,"DM","Steenhof_et_al_2005","2.5","km",0,"SDS - changed source","IUCN","248","km",2.6e+07,"DM","makarieva_etal_2005","2600","ha",0.801,"Armstrong_1965","",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","4870000","IUCN (estimated extent of occurrence)",NA,26,2.8768136958758
"231","Athene cunicularia","athenecunicularia",30,"DM","Jenkins_et_al_2007","30000","m",2735,"SDS - changed source","Holroyd_etal_2010","1341","",10568.3,"changed: this was an error- average max distance moved per day was 58.4m (value in spreadsheet was .058m2)","Manning_Goldberg_2010","","",0.2024,"Baladron_etal_2005","yes",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","","","39100000","IUCN (estimated extent of occurrence)",NA,0.0105683,0.0579999514668431
"232","Dolichonyx oryzivorus","dolichonyxoryzivorus",1.522,"SDS - changed value","Fajardo_etal_2009","1522","m",8057,"SDS - changed source","La Sorte et al. 2013","","km",7450,"SDS changed from 7.85E5, averaged from male territory size","Martin&Gavin_1995","0.745","ha",0.042,"Hein_Gillooly_2011","",4,"","Omnivore/Granivore","Pigot_etal_2020","","","1200000","IUCN (estimated extent of occurrence)",NA,0.00745,0.0486971113318772
"233","Hirundo rustica","hirundorustica",65,"MG","Tittler_2009","65","Km",12000,"SDS - changed source","Hein_Gillooly_2011","","km",785000,"CF","Moller_1987","500","m radius",0.019,"Hein_Gillooly_2011","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","251000000","IUCN (estimated extent of occurrence)",NA,0.785,0.499873244587341
"234","Branta canadensis","brantacanadensis",30.5,"DM","Jenkins_et_al_2007","30500","m",3500,"SDS - changed source","Hein_Gillooly_2011","","km",8960000,"MG - value was 25000000","Giles_2010","895.9","from 214.2 to 263.6 ha for VHF-marked geese and 1190.2 to 1915.6 ha for PTT-marked geese",3.5,"Fox_etal_1996","",4,"","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","12800000","IUCN (estimated extent of occurrence)",NA,8.96,1.6888032982579
"235","Calidris alpina","calidrisalpina",2.5,"DM","Soikkeli_1970","","",4800,"SDS - changed source","Wennerberg_2001","4113","",15300000,"MG","Choi_et_al_2014","15.33","km2",0.051,"EOL","",4,"","Carnivore/Aquatic predator","Pigot_etal_2020","","","3960000","IUCN (estimated extent of occurrence)",NA,15.3,2.20683965403289
"236","Charadrius vociferus","charadriusvociferus",1.639,"CJL - changed source & value","Powers_1997","1639 = weighted avg of natal dispersal in Table 2","m",4348,"SDS - changed source","La Sorte et al. 2013","","km",42150,"MG - value was 4550","Plissner_et_al_2010","4.215","ha",0.095,"Hein_Gillooly_2011","",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","26300000","IUCN (estimated extent of occurrence)",NA,0.04215,0.115830745929769
"237","Grus americana","grusamericana",16.6,"CJL - changed source & value","Johns_et_al_2005","16.6","km",4000,"SDS - changed source","Hein_Gillooly_2011","","km",4100000,"CF- was 4500000","ADW","4.1","",6.9,"Hein_Gillooly_2011","",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","139000","IUCN (estimated extent of occurrence)",NA,4.1,1.14239683707263
"238","Grus canadensis","gruscanadensis",0.9,"CJL","Hayes_2015","0.9","km",4000,"SDS - changed source","Hein_Gillooly_2011","","km",13850000,"MG - value was 10115000"," IVEY et al 2014","2.1","km",4.4,"Hein_Gillooly_2011","",4,"","Omnivore/Omnivore","Pigot_etal_2020","","","4530000","IUCN (estimated extent of occurrence)",NA,13.85,2.09966471695971
"239","Junco hyemalis","juncohyemalis",1.003,"CJL - changed source & value","Liebgold_etal_2019","1003 - used WebPlotDigitizer on Fig 4","m",4000,"SDS - changed source","Hein_Gillooly_2011","","km",8330,"MG - value was 15000","Reichard_Ketterson_2012","0.833","ha",0.022,"Hein_Gillooly_2011","",4,"","Herbivore/Granivore","Pigot_etal_2020","","","17900000","IUCN (estimated extent of occurrence)",NA,0.00833,0.0514929252607674
"240","Molothrus ater","molothrusater",10.43,"DM","Prugh_etal","10.43","km",2000,"SDS - changed source","Hein_Gillooly_2011","","km",164670000,"MG - value was 55500","Goguen_et_al_2005","7.24","Km",0.044,"Bestetal_1996","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","15500000","IUCN (estimated extent of occurrence)",NA,164.67,7.2398956455107
"241","Arenaria interpres","arenariainterpres",3,"MG","Pearce‐Higgins_2001","3","km",5700,"SDS - changed source","Hein_Gillooly_2011","","km",328900,"SDS 3.04 pairs / km","Nettleship_1973","0.3289","km2",0.14,"Hein_Gillooly_2011","",4,"CF","Carnivore/Aquatic predator","Pigot_etal_2020","","","177000","IUCN (estimated extent of occurrence)",NA,0.3289,0.323561619426422
"242","Piranga olivacea","pirangaolivacea",25,"MG","Tittler_2009","25","Km",5004,"SDS - changed source","La Sorte et al. 2013","","km",67000,"SDS","Rivera_et_al_2003","6.7","ha",0.029,"Hein_Gillooly_2011","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","4440000","IUCN (estimated extent of occurrence)",NA,0.067,0.146036852795156
"243","Progne subis","progne subis",336,"DM","Jenkins_et_al_2007","336000","m",7600,"SDS - changed source","Hein_Gillooly_2011","","km",19064472000,"CF- value was 77900000, changed to area from the given radius","Russell _1999","77.9","km",0.049,"Hein_Gillooly_2011","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","5890000","IUCN (estimated extent of occurrence)",NA,19064.472,77.8999994382161
"244","Accipiter gentilis","accipitergentilis",1150,"DM","Jenkins_et_al_2007","1150000","m",346,"DM - changed source","Squires_etal_2020","3.46E+02","km",2130000,"SDS","Schoener_1968","525","acres",0.978,"Tamburello_etal","",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","115000000","IUCN (estimated extent of occurrence)",NA,2.13,0.823407588968837
"245","Accipiter striatus","accipiterstriatus",367.4,"MG","Morrison and Baird 2016","367.4","Km",1500,"SDS - changed source","Bildstein_etal_2020","1.50E+03","km",1e+06,"SDS","Schoener_1968","246","acres",0.141,"Tamburello_etal","",4,"PT","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","51200000","IUCN (estimated extent of occurrence)",NA,1,0.564189583547756
"246","Turdus migratorius","turdusmigratorius",40,"MG","Farner_1945","25","miles",6400,"SDS - changed source","Hein_Gillooly_2011","","km",1214.06,"SDS","Schoener_1968","0.3","acres",0.077,"Hein_Gillooly_2011","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","22700000","IUCN (estimated extent of occurrence)",NA,0.00121406,0.0196582629044454
"247","Tachycineta bicolor","tachycinetabicolor",0.129,"MG","Shutler_Clark_2003","129","m",5500,"SDS - changed source","Hein_Gillooly_2011","","km",1370000,"MG","Stapleton&Robertson_2006","661","m",0.02,"Hein_Gillooly_2011","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","8340000","IUCN (estimated extent of occurrence)",NA,1.37,0.660366976818037
"248","Actitis macularia","actitismacularia",146.7,"DM","Jenkins_et_al_2007","146700","m",6700,"SDS-changed source","Reed_etal_2013","great circle distance from map","km",50000,"CJL","Swarth_1988","5","ha",0.04,"Bestetal_1996","",4,"CJL","Carnivore/aquatic predator","Pigot_etal_2020","","","23400000","IUCN (estimated extent of occurrence)",NA,0.05,0.126156626101008
"249","Agelaius phoeniceus","agelaiusphoeniceus",32.1,"DM","Prugh_etal","32.1","km",2500,"SDS - changed source","Hein_Gillooly_2011","","km",9310,"SDS","Odum_Keuntzler_1955","mean(1.6, 1.1, 4.2)","acres",0.053,"Bestetal_1996","",4,"","Herbivore/Granivore","Pigot_etal_2020","","","18200000","IUCN (estimated extent of occurrence)",NA,0.00931,0.0544377170753063
"250","Vireo olivaceus","vireoolivaceus",95,"MG","Tittler_2009","95","Km",5083,"SDS - changed source","La Sorte et al. 2013","","km",7284.33,"DM","Tamburello_etal","7284.33","m2",0.0176,"Tamburello_etal","yes",4,"","Omnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","14500000","IUCN (estimated extent of occurrence)",NA,0.00728433,0.0481526141889012
"251","Cygnus buccinator","cygnusbuccinator",128,"DM","Jenkins_et_al_2007","128000","m",700,"SDS- changed source","Mitchell_Eichholz_2020","7.00E+02","km",508000,"CJL - value was 1000000","Travsky_Beauvais_2004","range = 1.5-100","ha",11.5,"EOL","",4,"MG","Herbivore/Herbivore aquatic","Pigot_etal_2020","","","4870000","IUCN (estimated extent of occurrence)",NA,0.508,0.402121153610906
"252","Corvus brachyrhynchos","corvusbrachyrhynchos",85,"MG","Tittler_2009","85","Km",912,"DM ","Verbeek_Caffrey_2020","9.12E+02","km",6400000,"CJL","Yaremych_etal_2004","6.4","km2",0.448,"Bestetal_1996","",4,"SDS","Omnivore/Omnivore","Pigot_etal_2020","","","12600000","IUCN (estimated extent of occurrence)",NA,6.4,1.42729929292222
"253","Antechinus stuartii","antechinusstuartii",1.5,"DM","Whitmee and Ormee 2012","1500","linear m",0,"SDS","Lazenby-Cohen and Cockburn 1991","resident","",35000.16,"DM","Tamburello_etal","35000.16","m2",0.0275,"Tamburello_etal","yes",4,"MG","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.03500016,0.105550447398457
"254","Mephitis mephitis","mephitismephitis",21.7,"DM","Jenkins_et_al_2007","21700","m",0,"CJL - changed source","Gonzales_1997","""yearlong resident""","",40000,"MG","Gittleman and Harvey (1982)","0.04","km2",2.586,"Harestad and Bunnel 1979","",4,"MG","Omnivore/Carnivore","EOL","running","Hirt_etal","","",NA,0.04,0.112837916709551
"255","Neovison vison","neovisonvison",45.1,"DM","Jenkins_et_al_2007","45100","m",0,"CJL - changed source","Eccles_etal_2020","""non-migratory""","",2700000,"MG","Gittleman and Harvey (1982)","2.7","km2",0.908,"Harestad and Bunnel 1979","",4,"SDS","Omnivore/Carnivore","EOL","","","","",NA,2.7,0.927058084855655
"256","Ambystoma californiense","ambystomacaliforniense",0.67,"DM","Jenkins_et_al_2007","670","m",0.0359,"CJL","Loredo_et_al_1996","35.9","m",7.07,"MG","Loredo_et_al_1996","1.5","m",0.0439,"EOL","",4,"MG","Carnivore","Animal_Diversity_Web","","","","",NA,7.07e-06,0.00150015029091068
"257","Procyon lotor","procyonlotor",265.5,"DM","Jenkins_et_al_2007","265500","m",0,"CJL - changed source","Gonzales_1997","""permanent resident""","",3521000,"SDS - was 2401000","Rees et al 2008","352.1","ha",8,"Swithart_etal_1988","",4,"CF","Omnivore/Carnivore","EOL","running","Hirt_etal","","",NA,3.521,1.05866383203221
"258","Crotalus horridus","crotalushorridus",4.07,"DM","Jenkins_et_al_2007","4070","m",4,"CF","Macartney_et_al_1998","estimate","m",2579600,"DM","Tamburello_etal","2579600","m2",1.02,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,2.5796,0.906152405724173
"259","Plethodon jordani","plethodonjordani",0.3,"DM","Jenkins_et_al_2007","300","m",0,"CF","Madison_1969","recapture from same area year round",NA,25,"SDS","Madison&Shoop_1970","25","m2",0.00279,"Feder_Arnold_1982","",4,"MG","Omnivore/Herbivore/Invertivore","Animal_Diversity_Web","","","","",NA,2.5e-05,0.00282094791773878
"260","Ambystoma maculatum","ambystomamaculatum",0.756,"DM","Jenkins_et_al_2007","756","m",0.118,"CF","Madison_1997","118","meters",12.57,"MG - value was 9.83","Freda_1983","4","m wide (i.e. diameter)",0.0209,"Finkler_etal_2003","",4,"CJL","Carnivore","EOL","","","2989000","IUCN (estimated extent of occurrence)",NA,1.257e-05,0.00200028879648171
"261","Natrix natrix","natrixnatrix",0.114,"DM","Jenkins_et_al_2007","114","m",0.3,"CF- changed source was 118000km from Madsen 1984","Reading_2009","estimated  shift of center of home range from maps- home ranages shift seasonally but still overlap somewhat","meters",99000,"DM","Tamburello_etal","99000","m2",0.0785,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.099,0.177518108181096
"262","Lacerta agilis","lacertaagilis",0.0563,"DM","Jenkins_et_al_2007","56.3","m",0,"MG","Madsen_etal_2000","","",384,"MG","Perry_Garland_2002","384","m2",0.0314,"Perry_Garland_2002","",4,"SDS","Insectivore","Perry_Garland_2002","running","Hirt_etal","","",NA,0.000384,0.0110558127830827
"263","Gopherus polyphemus","gopheruspolyphemus",0.74,"DM","Jenkins_et_al_2007","740","m",0.2,"MG","McRae_et_al_1981","The most significant aspect of autumn movements was the migration  adults to winter burrows (Fig. 4). In the Ford colony, five of seven tortoises located in the southern activity center during spring and summer moved ca. 200 m to the winter range after crossing an area too wet for burrowing.","",4500,"MG - number was 2827.43","McRae_et_al_1981","0.45","ha",0.335,"Tamburello_etal","",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0045,0.0378469878303024
"264","Carinascincus microlepidotus","carinascincusmicrolepidotus",0.0524,"DM","Jenkins_et_al_2007","52.4","m",0,"MG","Melville_Swain_1997","At high altitudes lizards may be inactive for more than half the year. During this time they must survive on stored energy, particularly lip- ids, and these energy stores, built up over warmer months,  must be adequate for the duration of hibernation ","",12.1,"MG","Perry_Garland_2002","12.1","m2",0.0042,"Perry_Garland_2002","",4,"SDS","Omnivore/herbivore/insectivore","Melville_Swain_1999","","","19327","IUCN (estimated extent of occurrence)",NA,1.21e-05,0.00196253652776805
"265","Cygnus olor","cygnusolor",114,"DM","Jenkins_et_al_2007","114000","m",760,"MG","Wieloch_1991","Swans from the Baltic Republic of the USSR undertake the longest migrations (Kishchinski 1979). In severe winters some individuals have reached Britain. Currently,however, these birds are also tending to shorten the distance they migrate (Lipsberg et al. 1987).","",60000,"Changed: this reference was movement over an entire season- the wanderings of the individuals that didn't migrate really far so I think a large over estimate (KovÃ¡cs et al 2018- 25800000000m2)","Global Invasive Species Database","","",10.95,"EOL","yes",4,"MG","Herbivore/Herbivore aquatic","Pigot_etal_2020","","","22500000","IUCN (estimated extent of occurrence)",NA,0.06,0.138197659788534
"266","Erithacus rubecula","erithacusrubecula",79.8,"DM","Jenkins_et_al_2007","78900","m",500,"MG","Moller_etal_2004","1","in multiple of 500 km",0.372,"DM","Armstrong_1965","0.61","ha",0.018,"Armstrong_1965","yes",4,"SDS","Omnivore/Carnivore","Pigot_etal_2020","","","23900000","IUCN (estimated extent of occurrence)",NA,3.72e-07,0.000344109397808851
"267","Sylvia atricapilla","sylviaatricapilla",117,"DM","Jenkins_et_al_2007","117000","m",2500,"MG","Moller_etal_2004","5","in multiple of 500 km",369300,"CF- value was 48000","Assandri_etal_2017","36.93 ± 1.57","ha",0.0155,"Moller_etal_2004","",4,"DM","Omnivore","Pigot_etal_2020","","","27800000","IUCN (estimated extent of occurrence)",NA,0.3693,0.342858339504341
"268","Corvus corone","corvuscorone",35.5,"DM","Jenkins_et_al_2007","35500","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",177205.5,"CJL - value was 475","Baglione_etal_2002","475","m diameter",0.57,"Moller_etal_2004","",4,"CF","Omnivore/Carnivore","Pigot_etal_2020","","","81600000","IUCN (estimated extent of occurrence)",NA,0.1772055,0.237500026391876
"269","Cyanistes caeruleus","cyanistescaeruleus",35.7,"DM","Jenkins_et_al_2007","35700","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",16000,"SDS","Bowman_2003","1.6","ha",0.0133,"Moller_etal_2004","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","16600000","IUCN (estimated extent of occurrence)",NA,0.016,0.0713649646461108
"270","Parus major","parusmajor",41.1,"DM","Jenkins_et_al_2007","41100","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",10000,"SDS","Bowman_2003","1","ha",0.0197,"armstrong_1965","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","89800000","IUCN (estimated extent of occurrence)",NA,0.01,0.0564189583547756
"271","Pica pica","picapica",44.3,"DM","Jenkins_et_al_2007","44300","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",15000,"SDS","Bowman_2003","1.5","ha",0.189,"Moller_etal_2004","",4,"SDS","Omnivore/Omnivore","Pigot_etal_2020","","","10000000","IUCN (estimated extent of occurrence)",NA,0.015,0.0690988298942671
"272","Streptopelia decaocto","streptopeliadecaocto",59.9,"DM","Jenkins_et_al_2007","59900","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",106200,"MG - value was 13.5","Eraud_et_al_2011","10.66","ha",0.152,"Moller_etal_2004","",4,"MG","Omnivore/Herbivore","Pigot_etal_2020","","","213000000","IUCN (estimated extent of occurrence)",NA,0.1062,0.183860028045028
"273","Motacilla cinerea","motacillacinerea",85.6,"DM","Jenkins_et_al_2007","85600","m",3000,"MG","Moller_etal_2004","6","in multiple of 500 km",23000,"SDS","Klemp_2004","2.3","ha",0.018,"Moller_etal_2004","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","60700000","IUCN (estimated extent of occurrence)",NA,0.023,0.085563586777479
"274","Emberiza citrinella","emberizacitrinella",36,"DM","Jenkins_et_al_2007","36000","m",500,"MG","Moller_etal_2004","1","in multiple of 500 km",40000,"CF","Moller_1990","4","ha- estimated from a shitty graph",0.0265,"Moller_etal_2004","",4,"CF","Herbivore/Granivore","Pigot_etal_2020","","","21600000","IUCN (estimated extent of occurrence)",NA,0.04,0.112837916709551
"275","Alauda arvensis","alaudaarvensis",51.7,"DM","Jenkins_et_al_2007","51700","m",1500,"MG","Moller_etal_2004","3","in multiple of 500 km",29000,"changed: was 2.8 which is almost the size in hectares presented in the paper","Poulsen_et_al_1998","","",0.0427,"Moller_etal_2004","yes",4,"CJL","Omnivore/Omnivore","Pigot_etal_2020","","","42900000","IUCN (estimated extent of occurrence)",NA,0.029,0.0960780240186586
"276","Passer montanus","passermontanus",8,"MG","Paradis_1998 & Prugh_etal.","8","Km",500,"MG","Moller_etal_2004","1","in multiple of 500 km",7600,"MG - value was 13000","Zheng_Guangmei_2003","7600","m2",0.022,"Moller_etal_2004","",4,"SDS","Omnivore/Granivore","Pigot_etal_2020","","","98300000","IUCN (estimated extent of occurrence)",NA,0.0076,0.0491849075936594
"277","Turdus merula","turdusmerula",4,"DM","Prugh_etal","4","km",0,"MG","Moller_etal_2004","0","in multiple of 500 km",7284.34,"SDS","Schoener_1968","1.8","acres",0.092,"Schoener_1968","",4,"","Omnivore/Omnivore","Pigot_etal_2020","","","32400000","IUCN (estimated extent of occurrence)",NA,0.00728434,0.0481526472410815
"278","Columba livia","columbalivia",3,"MG","Tang et al. 2018","3","Km",0,"MG","Moller_etal_2004","0","in multiple of 500 km",16400,"CJL - value was 36500","Sol_1995","1.64","ha",0.393,"Moller_etal_2004","",4,"CF","Herbivore/Granivore","Pigot_etal_2020","flying","Hirt_etal","64600000","IUCN (estimated extent of occurrence)",NA,0.0164,0.0722515199384357
"279","Columba palumbus","columbapalumbus",150,"DM","Jenkins_et_al_2007","150000","m",500,"MG","Moller_etal_2004","1","in multiple of 500 km",2540000,"DM","Tamburello_etal","2540000","m2",0.49,"Moller_etal_2004","",4,"","Omnivore/Herbivore","Pigot_etal_2020","flying - air","Tamburello_etal","26800000","IUCN (estimated extent of occurrence)",NA,2.54,0.89917023466462
"280","Motacilla alba","motacillaalba",100,"DM","Jenkins_et_al_2007","100000","m",2500,"MG","Moller_etal_2004","5","in multiple of 500 km",785000,"DM","Tamburello_etal","785000","m2",0.02122,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","37800000","IUCN (estimated extent of occurrence)",NA,0.785,0.499873244587341
"281","Saxicola rubetra","saxicolarubetra",0.5,"MG","Bastian_1992","500","m",6000,"MG","Moller_etal_2004","12","in multiple of 500 km",7300,"DM","Tamburello_etal","7300","m2",0.01648,"Tamburello_etal","yes",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","flying - air ","Tamburello_etal","17000000","IUCN (estimated extent of occurrence)",NA,0.0073,0.0482043791490117
"282","Sitta europaea","sittaeuropaea",24.1,"DM","Jenkins_et_al_2007","24100","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",21000,"DM","Tamburello_etal","21000","m2",0.0183,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","51400000","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626
"283","Passer domesticus","passerdomesticus",4,"MG - value was 26","Paradis_1998 & Prugh_etal.","4","km",0,"MG","Moller_etal_2004","0","in multiple of 500 km",7762.5,"CJL - value was 7500","Vengestel_etal_2010","weighted avg of SIP's in Table 1","ha",0.029,"Mace_Harvey_1983","",4,"SDS","Herbivore/Granivore","Pigot_etal_2020","","","68500000","IUCN (estimated extent of occurrence)",NA,0.0077625,0.0497079519946424
"284","Brachylagus idahoensis","brachylagusidahoensis",1.95,"DM","Whitmee and Ormee 2012","1.95","linear km",0,"SDS","Montana field guide","0 - nonmigatory","km",4858.81,"DM","Tamburello_etal","4858.81","m2",0.3402,"Tamburello_etal","yes",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","935812","IUCN (estimated extent of occurrence)",NA,0.00485881,0.0393269279004687
"285","Zapus hudsonius","zapushudsonius",4.83,"DM","Prugh_etal","4.83","km",0,"SDS","Montana FWP","0 - nonmigatory","km",5300,"CJL","Mace_Harvey_1983","0.53","ha",0.022,"Mace_Harvey_1983","",4,"SDS","Omnivore/Herbivore/Invertivore","EOL","running","Hirt_etal","18123728","IUCN (estimated extent of occurrence)",NA,0.0053,0.0410736216661508
"286","Microtus montanus","microtusmontanus",1.75,"DM","Prugh_etal","1.75","km",0,"SDS","Montana FWP","0 - nonmigatory","km",151.6,"DM","Tamburello_etal","151.6","m2",0.0567,"Tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","2317578","IUCN (estimated extent of occurrence)",NA,0.0001516,0.00694663794547137
"287","Sorex cinereus","sorexcinereus",5.09,"DM","Prugh_etal","5.09","km",0,"SDS","Montana FWP","0 - nonmigatory","km",5011.87,"DM","Tamburello_etal","5011.87","m2",0.00417,"Tamburello_etal","yes",4,"MG","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","19648532","IUCN (estimated extent of occurrence)",NA,0.00501187,0.0399415544172727
"288","Carcharhinus melanopterus","carcharhinusmelanopterus",5,"DM","Jenkins_et_al_2007","5000","m",50,"CJL","Mourier_Planes_2013","50","km",5e+05,"SDS","Mourier_Planes_2013","0.5","km2",13.5,"Fishbase","",4,"SDS","Carnivore","EOL","","","","",NA,0.5,0.398942280401433
"289","Meleagris gallopavo","meleagrisgallopavo",48,"DM","Jenkins_et_al_2007","48000","m",0,"MG","Fristoe_et_al_2017","resident","",14520000,"MG - value was 3630000, no idea where they got it from","Davis et al. 2018","2.15","km",6.023,"Mace_Harvey_1983","",4,"","Omnivore/Herbivore","Pigot_etal_2020","","","11300000","IUCN (estimated extent of occurrence)",NA,14.52,2.14985105237285
"290","Alouatta palliata","alouattapalliata",1.3,"DM","Whitmee and Ormee 2012","1300","linear m",0,"SDS","IUCN","resident","",404500,"MG","Galan-Acedo et al. 2019","40.45","ha",6.12,"Galan-Acedo et al. 2019","",4,"PT","Herbivore","EOL","","","","(can be found in Galan-Acedo et al. 2019)",NA,0.4045,0.358826349313067
"291","Aplodontia rufa","aplodontiarufa",0.1525,"DM","Whitmee and Ormee 2012, Prugh_etal","152.5","linear m",0,"SDS","IUCN","resident","",1800,"CJL","Mace_Harvey_1983","0.18","ha",1.135,"Mace_Harvey_1983","",4,"PT","Herbivore","EOL","","","602124","IUCN (estimated extent of occurrence)",NA,0.0018,0.023936536824086
"292","Tympanuchus cupido","tympanuchuscupido",10.8,"DM","Jenkins_et_al_2007","10800","m",0,"SDS","IUCN","not a migrant","",53200,"CJL","Mace_Harvey_1983","5.32","ha",0.908,"Mace_Harvey_1983","",4,"","Herbivore/Granivore","Pigot_etal_2020","","","1990000","IUCN (estimated extent of occurrence)",NA,0.0532,0.130131033750515
"293","Strix aluco","strixaluco",35.3,"DM","Jenkins_et_al_2007","35300","m",0,"MG","Fristoe_et_al_2017","resident","",360000,"DM","makarieva_etal_2005","36","ha",0.519,"Tamburello_etal","",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","23300000","IUCN (estimated extent of occurrence)",NA,0.36,0.338513750128654
